Theme Id,Theme Name,Definition,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no birth certificate,lack of Aadhar card,no ID,no legal document,enrollment barriers due to no Aadhar card",approved,279,16282 | To get Ravindra Kumar enrolled in school by obtaining his Aadhar card | 0.6535
,,,,,,40624 | To improve education for disadvantaged girls by addressing the issue of lack of parental support and financial constraints | 0.7969
,,,,,,40704 | To increase enrollment of children in school by addressing poverty and lack of information | 0.6654
,,,,,,40845 | To empower girls through education and prevent child labor | 0.6587
,,,,,,40894 | To help a teenager attend school despite financial difficulties | 0.7152
,,,,,,40906 | To educate women and teenagers about the importance of education in overcoming unemployment | 0.6973
,,,,,,40916 | To provide education to underprivileged children despite financial constraints | 0.7205
,,,,,,28572 | To educate the girl about the importance of education despite her family's poverty | 0.7236
,,,,,,41038 | To solve the problem of parents not sending their children to school due to household work | 0.6721
,,,,,,41042 | To ensure girls from underprivileged backgrounds receive education and support to break the cycle of poverty | 0.6691
,,,,,,41084 | To help a teenage girl continue her education despite financial difficulties | 0.7564
,,,,,,41114 | To address the issue of depriving girls of education by engaging them in household chores | 0.7152
,,,,,,41115 | To educate disadvantaged children and empower them through education | 0.6639
,,,,,,"28672 | To encourage and support students to continue their education beyond 8th class, addressing the issue of limited educational opportunities due to poverty | 0.6712"
,,,,,,41272 | To empower education in the community by addressing the problem of poverty and lack of motivation | 0.717
,,,,,,40534 | To educate girls from poor families | 0.6959
,,,,,,40536 | To promote girl education and empower them to become self-dependent | 0.6545
,,,,,,41413 | To empower children and eliminate poverty through education | 0.7141
,,,,,,41466 | To educate children and empower them to break the cycle of poverty | 0.676
,,,,,,48982 | To educate parents about the importance of education in eradicating poverty | 0.7439
,,,,,,15019 | To empower girls to complete their education and improve their economic condition | 0.6776
,,,,,,4123 | To help Preeti continue her education despite financial difficulties | 0.6903
,,,,,,5518 | To improve education in rural areas by addressing the financial constraints of parents and encouraging children to pursue higher education | 0.6562
,,,,,,5817 | To educate parents about the importance of education for their teenage girl and ensure she receives higher education despite poverty | 0.697
,,,,,,6450 | To provide education to deprived teenagers and empower them through learning | 0.6526
,,,,,,6768 | To encourage poor parents to send their children to school by highlighting the importance of education in overcoming poverty | 0.7176
,,,,,,8871 | To educate women about the importance of education and its impact on unemployment | 0.6509
,,,,,,9910 | To educate children despite their parents being in poverty | 0.7208
,,,,,,15049 | To support underprivileged girls in continuing their education by addressing financial constraints and providing motivation | 0.6713
,,,,,,15191 | To improve girls' education by addressing the issue of girls dropping out of school due to working outside with parents | 0.7076
,,,,,,15200 | To address the issue of girls being engaged in household work due to poverty and lack of education | 0.7685
,,,,,,5776 | To ensure that girls are not deprived of education due to household chores | 0.6788
,,,,,,27812 | To provide free tuition to children in rural areas and help them learn and grow despite their parents' financial difficulties | 0.6708
,,,,,,15325 | To educate girls from poor families and encourage them to continue their education | 0.6794
,,,,,,4089 | To provide educational support to teenage girls from poor financial backgrounds | 0.709
,,,,,,3993 | To improve girls education in Londa by addressing the issue of domestic work hindering their education | 0.724
,,,,,,15509 | To encourage children to study and remove poverty | 0.6997
,,,,,,17932 | To create awareness about the importance of education and its impact on poverty and unemployment | 0.7055
,,,,,,16404 | To educate girls and help them move forward despite financial constraints | 0.6519
,,,,,,3883 | To improve education in Muzaffarpur by addressing the issue of poverty and lack of attention to studies | 0.6513
,,,,,,4256 | To provide education to girls from poor families who cannot afford admission fees | 0.7187
,,,,,,3955 | To solve the problem of education being hindered due to domestic work | 0.6761
,,,,,,4391 | To help a girl child who dropped out of school due to poverty and pressure from parents to continue her education | 0.6665
,,,,,,15344 | To help children attend school by addressing family constraints and lack of support | 0.7034
,,,,,,17445 | To educate children from poor families and encourage their parents to support education | 0.6642
,,,,,,15702 | To improve education in rural Bihar by addressing the issue of children dropping out of school due to poverty and lack of understanding of education's importance | 0.6512
,,,,,,16376 | To improve the quality of education for girls in the village by addressing the issue of lack of regular school attendance due to household chores | 0.6501
,,,,,,16304 | To help Payal continue her education despite financial constraints | 0.6528
,,,,,,16333 | To educate girls from poor financial backgrounds | 0.6718
,,,,,,28484 | To promote education and ensure no child's education remains incomplete due to financial constraints | 0.6623
,,,,,,40482 | To empower girls through education and reduce the number of girls engaged in domestic work | 0.7449
550e8400-e29b-41d4-a716-446655440004,Distance and Accessibility Issues,"This theme captures challenges that prevent children from attending school due to physical and environmental conditions. It includes long distances to school, poor road or transport infrastructure, and difficulties caused by weather or seasonal factors (such as heavy rains, heat, or floods). These conditions make daily travel to school inconvenient, unreliable, or physically demanding for children.","school is far,distance of school,no bus,lack of transportation,no road,roads are bad,no school in village,rain,hot,heat,sun,has to walk a lot,long distances,no clean roads",approved,50,122 | To provide easy transport for students traveling to school over long distances | 0.6936
,,,,,,"28507 | To address the issue of the school being far away from the village, the community came together to find a solution | 0.7325"
,,,,,,28676 | To increase student attendance by addressing the issue of lack of transport for students living far from school | 0.6916
,,,,,,28638 | To provide education to all children in the village by addressing the issue of transportation | 0.673
,,,,,,28609 | To increase school attendance by providing cycles for students to travel to school together | 0.6666
,,,,,,3106 | To improve school attendance by arranging transportation | 0.7245
,,,,,,28563 | To increase student attendance by providing a reliable transportation solution for those living far from school | 0.7182
,,,,,,3920 | To help children who are not attending school to reach school and receive an education | 0.6538
,,,,,,40771 | To ensure no girl child remains out of school by regularly contacting the village community and the school | 0.6987
,,,,,,40785 | To improve school attendance by addressing transport difficulties for students living far from school | 0.7583
,,,,,,40868 | To address the issue of poor school attendance due to distance and parental absence | 0.6566
,,,,,,40908 | To ensure children from poor families do not drop out of school | 0.6704
,,,,,,41096 | To improve the road conditions for students to travel to school safely and easily | 0.6673
,,,,,,41152 | To improve school attendance by providing bicycles for children to commute | 0.6579
,,,,,,41166 | To improve children's travel | 0.6733
,,,,,,41247 | To improve the education of children in the village by addressing the transportation needs | 0.6736
,,,,,,41250 | To improve the education of children by establishing a transportation system | 0.761
,,,,,,"40518 | To address the challenge of distance between school and village, affecting girls | 0.703"
,,,,,,41469 | To improve children's education by providing transportation | 0.7576
,,,,,,48888 | To increase school enrollment by encouraging parents to send their children to school despite the distance | 0.6502
,,,,,,48922 | To enroll children in school who were not enrolled due to distance | 0.6927
,,,,,,4932 | To improve education in the community by addressing the problem of distance to school and parental reluctance to let children attend | 0.6623
,,,,,,28961 | To improve attendance by providing transportation support to students who live far from school | 0.6658
,,,,,,6670 | To improve education for adolescent girls in villages by addressing the challenge of distance from school | 0.7035
,,,,,,28754 | To improve attendance by providing a reliable and safe transportation option for students living far from school | 0.6763
,,,,,,28762 | To improve attendance by addressing transport issues for students living far from school | 0.6764
,,,,,,28976 | To improve attendance by addressing transportation challenges faced by students living far from school | 0.7241
,,,,,,15085 | To solve the problem of girls being forced to leave school due to distance | 0.6773
,,,,,,28801 | To increase school attendance by addressing the issue of schools being far away | 0.6782
,,,,,,15227 | To improve girls' education by addressing transportation issues | 0.6728
,,,,,,28806 | To increase the number of children attending school by solving the problem of school distance | 0.6543
,,,,,,28808 | To educate children who are not going to school | 0.6811
,,,,,,28811 | To educate children who are not attending school | 0.6769
,,,,,,28812 | To educate children who are not attending school | 0.6769
,,,,,,20834 | To increase school attendance by addressing the issue of distance between the village and the school | 0.702
,,,,,,28819 | To improve attendance in rural schools by addressing transportation challenges | 0.7064
,,,,,,4889 | To bring attention to the lack of transportation to school and potentially find a solution. | 0.6923
,,,,,,27592 | To ensure education isn't interrupted due to bad roads | 0.6587
,,,,,,28837 | To improve attendance by providing a safe and reliable transport system for students living far from school | 0.6532
,,,,,,3763 | To improve the condition of the village school | 0.7091
,,,,,,13943 | To educate the children of the village who were not studying due to the school being far away | 0.7347
,,,,,,28917 | To improve school attendance by providing transport facilities to students living far away from school | 0.6861
,,,,,,4172 | To increase regular school attendance among children by providing transport and motivating them through task force meetings | 0.6591
,,,,,,29438 | To improve attendance in rural schools by providing a reliable transportation system | 0.7015
,,,,,,37129 | To improve school attendance by addressing transportation barriers through community partnerships | 0.6992
,,,,,,"30589 | To improve school attendance by providing bicycles to children who live far from school, thereby reducing the distance barrier and increasing access to education | 0.6708"
,,,,,,32145 | To improve school attendance by addressing transportation challenges through community partnerships | 0.7057
,,,,,,36272 | To improve attendance by addressing the issue of lack of transport for students living far from school | 0.6786
,,,,,,38127 | To improve school attendance by addressing transport difficulties faced by students living far from school | 0.7606
,,,,,,31239 | To increase attendance by providing transportation to students living far from school | 0.6975
550e8400-e29b-41d4-a716-446655440007,Teacher Capacity and Quality Issues,"This theme covers responses highlighting challenges related to insufficient teachers or concerns about teaching quality. It includes issues such as vacant positions, irregular teacher attendance, overburdened staff, and gaps in subject knowledge or pedagogy. These factors affect the learning environment and reduce children's motivation to attend school regularly.","Shortage,quality issue,teacher not on time,dont pay attention,slow learning progress,academic progress,lack in academics,Lack of english education",approved,46,114 | To improve the quality of education in remote areas by addressing the shortage of qualified teachers and inadequate infrastructure | 0.6622
,,,,,,"2544 | To improve the quality of education in villages by addressing the lack of teaching staff, transport, and poor facilities | 0.752"
,,,,,,3956 | To increase student attendance by identifying and addressing the root causes of low attendance | 0.6829
,,,,,,3800 | To address the issue of no teachers in the school due to lack of salaries | 0.6588
,,,,,,41603 | To improve education in the community by addressing the lack of teacher education and providing a safe and accessible learning environment | 0.7196
,,,,,,5787 | To increase student attendance by engaging them through Parent-Teacher Meetings and fun classes | 0.676
,,,,,,41204 | To enroll children in school and improve attendance | 0.6802
,,,,,,3689 | To address the issue of not coming to school on time | 0.6984
,,,,,,3688 | To address the issue of kids not coming to school on time | 0.7131
,,,,,,4214 | To improve school attendance by increasing awareness about the importance of education and providing incentives for regular attendance | 0.6629
,,,,,,7216 | To improve the condition of the school by addressing the issues of teacher carelessness and poor food quality | 0.6968
,,,,,,28949 | To improve children's learning | 0.7441
,,,,,,4931 | To improve education in rural areas by addressing the lack of specialized teachers and encouraging children to attend school | 0.6557
,,,,,,28951 | To improve children's learning | 0.7441
,,,,,,28952 | To improve children's learning | 0.7441
,,,,,,3891 | To increase student attendance by identifying and addressing the root causes of low attendance | 0.6829
,,,,,,28953 | To improve children's learning | 0.7441
,,,,,,4106 | To improve school attendance by addressing the lack of effective teaching and engaging parents in the educational process | 0.6929
,,,,,,28965 | To enhance teacher skills and improve education quality | 0.736
,,,,,,7213 | To educate children and make them progress further | 0.653
,,,,,,28969 | To improve children's learning | 0.7441
,,,,,,28971 | To improve children's learning | 0.7441
,,,,,,28972 | To improve children's learning | 0.7441
,,,,,,16672 | To improve school attendance | 0.6697
,,,,,,15091 | To improve the attendance of children in school | 0.7152
,,,,,,4207 | To improve attendance in the school by addressing the root cause of poverty and child labor | 0.6657
,,,,,,3855 | To improve the quality of education in rural areas by addressing the shortage of quality teachers | 0.7285
,,,,,,16372 | To improve children's learning | 0.7441
,,,,,,3860 | To address the teacher shortage in school by discussing problems and finding solutions | 0.6839
,,,,,,27983 | To improve the quality of education in government schools by involving local women and addressing the issue of lack of teachers | 0.6734
,,,,,,3848 | To provide quality education to children in Basavanagiri by addressing the lack of good quality teachers | 0.6656
,,,,,,3817 | To address the teacher shortage in the school by working together with the community and school authorities | 0.652
,,,,,,29211 | To improve school attendance by addressing the negligence of parents and teachers | 0.6717
,,,,,,15696 | To improve children's learning through play | 0.6608
,,,,,,16370 | To improve children's learning through play | 0.6608
,,,,,,28896 | To improve children's learning outcomes | 0.7078
,,,,,,3850 | To improve the quality of education by addressing the shortage of teachers and engaging the community in the learning process | 0.7267
,,,,,,3858 | To address the shortage of teachers in school by taking alternative measures | 0.7255
,,,,,,21927 | To improve the quality of education by hiring qualified teachers in schools | 0.7266
,,,,,,4224 | To improve attendance in school by making parents aware of the importance of education and providing incentives to students | 0.6529
,,,,,,15667 | To provide quality education to students despite the shortage of subject teachers | 0.7213
,,,,,,3896 | To improve education and increase regular attendance of all children | 0.6716
,,,,,,28482 | To address the issue of lack of teachers in rural schools and ensure children can complete their studies | 0.6681
,,,,,,29279 | To improve teacher attendance in school by addressing the root causes and working with the community | 0.7408
,,,,,,30231 | To improve school attendance by addressing the issue of schools being far away | 0.6782
,,,,,,40337 | To increase child enrollment by addressing the issue of teachers not arriving on time | 0.7375
550e8400-e29b-41d4-a716-446655440009,Substance Abuse and Addiction,"This theme captures responses where children's education is affected by alcohol or drug use within the family or community, as well as issues like gambling or addiction to online games. These problems create unstable home environments, distract children from studies, and contribute to irregular attendance or dropout.","Addiction,Addicted,Alcohol,Drugs,Alcoholism,online games,mobile phones,Gambling",approved,13,48 | Improve school infrastructure and reduce drug addiction among students | 0.8023
,,,,,,28677 | To inform children about the advantages and disadvantages of mobile phones and how to use them effectively for education | 0.717
,,,,,,3925 | To educate her daughters despite facing challenges from her alcoholic husband and societal taunts | 0.6688
,,,,,,16445 | To make children aware of the benefits and harms of using mobile phones and the importance of library utilization | 0.7037
,,,,,,40954 | To educate students and community members about the dangers of drug addiction and prevent its spread | 0.7556
,,,,,,41405 | To educate children about traditional games and reduce their dependence on mobile phones | 0.784
,,,,,,41542 | To help a family overcome the father's addiction to alcohol | 0.6784
,,,,,,48984 | To reduce the time children spend playing games on mobile phones and increase their interest in physical activities and reading | 0.7597
,,,,,,15377 | To educate the community about the importance of education and the harmful effects of alcohol | 0.7338
,,,,,,17368 | To address child marriage and drug addiction in Village Gandhinagar by educating children and taking legal action against drug addicts | 0.671
,,,,,,"39266 | To create a learning environment in homes and guide students to teach their children, addressing the issue of excessive mobile phone use among children due to lack of parental awareness. | 0.6841"
,,,,,,39648 | To engage children in traditional games during summer vacation and reduce their screen time | 0.6542
,,,,,,39193 | To reduce the excessive use of mobile phones among children by introducing traditional games and promoting physical activity | 0.7298
550e8400-e29b-41d4-a716-446655440008,Safety Concerns,"This theme includes responses where children's school attendance is affected by worries related to their overall safety and security. It covers issues such as unsafe routes, harassment, or any situation that makes families feel that the environment around schooling is not secure enough for children to travel or attend regularly.","Harassment,molestation,eve-teasing,tease,violence,environment around house,house surroundings",approved,8,41588 | To address the issue of teachers not caring for children and the lack of boundary walls in the school | 0.6675
,,,,,,41079 | To improve access to education for girls in rural Bihar by addressing the issue of molestation due to long distances to school | 0.6605
,,,,,,15150 | To encourage girls to attend school despite the distance and harassment they face | 0.7251
,,,,,,3285 | To build a wall around the school to ensure safety and security | 0.7114
,,,,,,8190 | To raise awareness about gender-based violence and safety in the community | 0.6548
,,,,,,5685 | To address the issue of girls not attending school and to prevent violence against them | 0.6824
,,,,,,19139 | To improve school attendance by addressing parental concerns about safety | 0.6909
,,,,,,14900 | To ensure the daughter feels safe at school after being harassed | 0.6738
dd2e1637-f4e1-4cee-8375-8af827ac3945,Promoting Girls' Educational Attainment and Persistence,"This theme encompasses initiatives aimed at ensuring girls, particularly those facing socioeconomic barriers, complete secondary education (up to 12th standard) and are encouraged to pursue further studies. It includes strategies for overcoming financial constraints, parental persuasion, and addressing attendance issues to foster educational persistence and empowerment.","girls' education,educational attainment,secondary education,financial barriers,educational persistence,empowerment",Draft,377,28513 | To encourage Ritika to pursue further studies | 0.5693
,,,,,,28632 | To help Anita Kumari pursue further studies despite her poor financial condition | 0.6954
,,,,,,28517 | To educate girls till 12th standard | 0.6325
,,,,,,28633 | To empower Madhu Kumari to pursue her education despite financial constraints by explaining the benefits of scholarships and community support | 0.8091
,,,,,,28655 | To improve education for teenage girls by encouraging them to complete their studies till class 12 | 0.6703
,,,,,,40510 | To educate Rinki Kumari till 12th standard | 0.7409
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.6494
,,,,,,4239 | To educate Renu Devi | 0.6466
,,,,,,28597 | To ensure Gudiya Kumari receives an education by convincing her parents of its importance | 0.8337
,,,,,,28522 | To educate Chanda Kumari further | 0.826
,,,,,,28524 | To encourage Sandhya to attend school regularly by explaining the importance of education | 0.6711
,,,,,,15374 | To bring Sita Kumari back to school by convincing her family and arranging a bicycle for her | 0.7381
,,,,,,28658 | To help Sweety Kumari take her exam and continue her education | 0.8424
,,,,,,28639 | To encourage Kusum to continue her studies despite financial difficulties | 0.6219
,,,,,,28542 | To encourage Riya Kumari | 0.7324
,,,,,,28547 | To support Kamini Kumari in resuming her studies | 0.7648
,,,,,,15118 | To educate Rupa further | 0.5935
,,,,,,15491 | To help Khushi Kumari attend school regularly | 0.842
,,,,,,28555 | To enroll Meenakshi in school after she dropped out | 0.6191
,,,,,,28644 | To encourage Rekha Kumari to continue her education after failing in matriculation | 0.7847
,,,,,,15179 | To encourage Rupa Kumari to continue her education and create awareness about education in her community | 0.8546
,,,,,,29237 | To educate Kavita and support her in her studies | 0.6858
,,,,,,15168 | To convince Pooja Kumari and her parents to continue her education | 0.8483
,,,,,,40563 | To educate Neha Kumari and empower her to shape her future | 0.8122
,,,,,,41568 | To educate Deepa Kumari | 0.7747
,,,,,,41561 | To help Savita Kumari continue her education | 0.87
,,,,,,40573 | To educate Anshu Kumari and raise awareness about the importance of education in the community | 0.7372
,,,,,,40574 | To help Anushka get enrolled in Kasturba and ensure her education | 0.6627
,,,,,,40575 | To educate Rizwana Khatoon after her parents | 0.6261
,,,,,,40578 | To enroll Pratima Kumari in Kasturba Vidyalaya after her name was removed from school due to living outside | 0.7097
,,,,,,28561 | To encourage Rinku Kumari to continue her education | 0.8592
,,,,,,40581 | To enroll Kirti Kumari in school | 0.7896
,,,,,,41589 | To get Priya Kumari admitted to class 12 | 0.704
,,,,,,40583 | To re-enroll Sameeksha Kumari in school and encourage her to continue her education | 0.8571
,,,,,,40584 | To help Renu Kumari get enrolled in school again and continue her education | 0.8909
,,,,,,40589 | To help Shivani Kumari continue her studies | 0.8007
,,,,,,41598 | To help Amrita Kumari pursue further education despite her father's alcoholic nature | 0.6947
,,,,,,40602 | To educate Preeti Kumari and make her self-dependent | 0.8304
,,,,,,40603 | To enroll Nandini Kumari in Kasturba Vidyalaya | 0.6486
,,,,,,41627 | To get Devanti Devi's daughter-in-law admitted in Intermediate | 0.5537
,,,,,,40614 | To bring Suraj Kumar back to school and provide him with a proper education | 0.7457
,,,,,,40616 | To create awareness about education and enroll Diksha Kumari in school | 0.7589
,,,,,,40623 | To enroll Jhumki in school | 0.522
,,,,,,15753 | To help a poor girl get education by admitting her to Kasturba school | 0.7248
,,,,,,28566 | To convince Chandrawati Kumari to continue her studies after her mother | 0.7545
,,,,,,41666 | To encourage Shabnam Parveen to continue her education | 0.5532
,,,,,,41668 | To educate Razia Begum and help her parents understand the importance of education | 0.5837
,,,,,,41669 | To help Priyanshu Kumari understand the importance of education and get her enrolled in Kasturba Vidyalaya | 0.8401
,,,,,,41673 | To improve education in Manjhi Tola by enrolling Nisha Kumari in Kasturba Vidyalaya and raising awareness about the importance of education | 0.7294
,,,,,,40656 | To educate Muskan Kumari and other girls in the community | 0.7402
,,,,,,4015 | Helping Kishori attend school regularly | 0.5807
,,,,,,14991 | To help Kajal continue her education | 0.7576
,,,,,,40695 | To empower Anjali through education and make her self-reliant | 0.651
,,,,,,"40710 | To ensure that Nidhi Kumari receives her transfer certificate without paying any bribe, by educating her parents about the free transfer certificate policy and providing them with support and resources to navigate the situation. | 0.6459"
,,,,,,40711 | To enroll Radha Kumari in school and encourage other parents to do the same | 0.7801
,,,,,,40713 | To get Kamini Kumari enrolled in school and create an educational environment in her community | 0.8218
,,,,,,40728 | To re-enroll Aradhana in school and ensure she continues her education | 0.6788
,,,,,,28432 | To educate Chhoti Kumari further by informing her parents about government schemes and scholarships | 0.8271
,,,,,,40817 | To enroll Radha Kumari in Kasturba Vidyalaya | 0.6638
,,,,,,40819 | To enroll Chhoti Kumari in Kasturba Vidyalaya and encourage her to pursue her education | 0.7877
,,,,,,40822 | To help Reena Kumari and other children in the community attend school regularly and complete their education | 0.8033
,,,,,,40829 | To enroll Khushi Kumari in school | 0.8175
,,,,,,40831 | To educate Anjani Kumari and other girls in the village | 0.7683
,,,,,,40837 | To encourage Geetanjali to continue her studies | 0.6088
,,,,,,40839 | To encourage Shivani Kumari to continue her education and inspire other girls in the community to do the same | 0.8321
,,,,,,40856 | To educate Nisha Kumari who had dropped out of school due to economic situation | 0.8058
,,,,,,40859 | To enroll Amit Kumar in school and encourage him to study | 0.7271
,,,,,,40860 | To enroll Suman Kumari in school by creating awareness and obtaining necessary documents | 0.7887
,,,,,,40873 | To enroll Anjali Kumari in school | 0.7704
,,,,,,40875 | To enroll Chintu Kumar in school | 0.7185
,,,,,,40879 | To help Priyanka understand the importance of education and pursue her studies | 0.6826
,,,,,,40881 | To help Priyanka Kumari continue her education | 0.8736
,,,,,,40886 | To help Sangeeta Kumari return to her studies after a 3-year gap due to ill health | 0.6683
,,,,,,40902 | To enroll Diltorni Kumari in school | 0.7821
,,,,,,40903 | To help Lali Kumari continue her education after her mother's death. | 0.8005
,,,,,,40907 | To educate Komal Kumari about the importance of education | 0.7971
,,,,,,28620 | To convince Khushboo Kumari to continue her education | 0.8581
,,,,,,40919 | To help Radha Kumari pass her supplementary exam | 0.7062
,,,,,,40920 | To educate Ramavati Kumari | 0.7915
,,,,,,40923 | To get Kajal Kumari enrolled in school and continue her education | 0.8491
,,,,,,40925 | To educate Anushka and other children in Naraina village | 0.5237
,,,,,,40926 | To encourage Kajal Kumari to continue her education | 0.8765
,,,,,,40931 | To motivate Riya Kumari to study further and help her pass her matriculation examination | 0.8156
,,,,,,40933 | To empower Kajal Kumari to continue her education despite poverty and failure in matriculation | 0.8158
,,,,,,40935 | To convince Khushboo Kumari and her mother to get her admitted and complete her further studies | 0.8141
,,,,,,40966 | To enroll Farida Khatoon in school despite initial resistance from the school administration | 0.497
,,,,,,41009 | To educate Durga Kumari and her parents about the importance of education | 0.8197
,,,,,,28573 | To educate Mamta Kumari despite her father | 0.7915
,,,,,,41019 | To make Rohit Raj understand the importance of education and continue his studies | 0.6925
,,,,,,41023 | To motivate Ritesh to continue his studies and understand the importance of education | 0.6154
,,,,,,16284 | To educate Anita Kumari and improve her life | 0.8035
,,,,,,41041 | To ensure Sambhavika Kumari attends school despite her family's poor financial condition | 0.767
,,,,,,41045 | To educate Munna | 0.5123
,,,,,,15087 | To help Nikki Kumari understand the importance of education and attend school regularly | 0.8278
,,,,,,41058 | To encourage and support Soni Kumari in pursuing her education despite financial constraints and lack of motivation | 0.8275
,,,,,,41059 | To help Chandni Kumari continue her education despite financial constraints | 0.8066
,,,,,,41085 | To solve the problem of admission in class 9 due to TC | 0.4249
,,,,,,41088 | Anjani wanted to go to school but the school was far away | 0.5164
,,,,,,41112 | To re-enroll dropout girls in Kasturba Vidyalaya and provide them with education | 0.6257
,,,,,,41121 | To get Aryan Kumar admitted to school | 0.7061
,,,,,,41122 | To get Aryan Kumar admitted to school | 0.7061
,,,,,,41123 | To enroll Akriti Kumari in school and ensure she receives an education despite her family's financial struggles | 0.8628
,,,,,,41159 | To ensure Sapna Kumari attends school by explaining the importance of education to her parents | 0.8498
,,,,,,28577 | To encourage Pooja Kumari to continue her studies after she had dropped out due to poor financial condition and academic performance | 0.7835
,,,,,,41188 | To help Priyanka continue her studies by finding a solution to the problem of the school being far away | 0.6182
,,,,,,28578 | To continue Renu's education | 0.6272
,,,,,,41207 | To encourage Samanti to continue her education | 0.7638
,,,,,,41208 | To motivate Phool Kumari Devi and her daughter-in-law Karishma Kumari to understand the importance of education | 0.7937
,,,,,,41209 | To help Asha Kumari get back to school after she dropped out due to financial constraints | 0.7933
,,,,,,41210 | To improve Sunita's education | 0.6294
,,,,,,28579 | To educate Renu till Intermediate | 0.6272
,,,,,,41217 | To help Sunita get admitted to school by obtaining her birth certificate | 0.5919
,,,,,,41223 | To educate Anjali Kumari about the importance of education | 0.8091
,,,,,,41224 | To make Nirmala understand the importance of education | 0.6278
,,,,,,28580 | To bring Chanchal back to school and continue her studies | 0.6573
,,,,,,41260 | To get Preeti Kumari to pursue further studies | 0.7412
,,,,,,28583 | Preeti Kumari | 0.5223
,,,,,,41270 | To educate Kajal | 0.6073
,,,,,,41273 | To enroll Kanchan in class 6th and encourage her to continue her studies | 0.6787
,,,,,,41274 | To enroll Anjali Kumari in school | 0.7704
,,,,,,41276 | To get Raveena back to school | 0.4683
,,,,,,40521 | To help Anjali and her sisters get an education despite their poor financial condition and lack of support after their parents' death. | 0.6661
,,,,,,40522 | To educate Savita Kumari about the importance of education and encourage her to pursue her studies | 0.8709
,,,,,,40524 | To empower Preeti Kumari and her family by providing access to education and overcoming the barrier of lack of certificates | 0.8273
,,,,,,40528 | Rima had left studies after studying till class six | 0.5073
,,,,,,41286 | To educate Ranju Kumari and help her stand on her own feet | 0.7285
,,,,,,40530 | To continue Nisha Kumari's education | 0.8016
,,,,,,41293 | To educate Kunti Kumari till 12th class | 0.7805
,,,,,,40538 | To help Sakina resume her studies and complete her education | 0.6992
,,,,,,41297 | To convince Anjali Kumari's parents of the importance of education and encourage her to continue her studies. | 0.8617
,,,,,,40542 | To get Sunita Kumari admitted in Kasturba Vidyalaya | 0.701
,,,,,,41302 | To ensure Pooja Kumari resumes her studies and completes her education | 0.8002
,,,,,,40546 | To support Pooja Kumari in pursuing her further studies | 0.765
,,,,,,40550 | To help Preeti Kumari get education and empower her community | 0.8417
,,,,,,40553 | To help Sonali Kumari continue her education by enrolling her in Kasturba Vidyalaya | 0.816
,,,,,,41315 | To enroll Nitya Kumari in class one | 0.7634
,,,,,,40555 | To encourage Pinky | 0.3223
,,,,,,40557 | To educate Kajal Kumari and her family about the importance of education | 0.8464
,,,,,,40558 | To help Pushpa Kumari resume her studies after failing in matriculation | 0.733
,,,,,,41320 | To enroll Avshita Kumari in school by making her parents aware of the importance of education | 0.8374
,,,,,,41342 | To solve the problem of Kavita | 0.336
,,,,,,41374 | To ensure Kajal Kumari completes her education despite her parents' poor financial condition | 0.7725
,,,,,,41381 | To re-enroll Chandrakala in school and promote education in her community | 0.7413
,,,,,,41383 | To enroll Madhuri in school and promote education in the Majhi community | 0.6873
,,,,,,"41384 | To enroll Anushka Kumari, a 7-year-old girl from a Maji community, in school and promote education in her community | 0.7737"
,,,,,,41389 | To enroll Munni Kumari in school and promote education in the Musahar community | 0.7106
,,,,,,41412 | To enroll Sunaina Kumari back in school and improve her future prospects | 0.8201
,,,,,,41415 | To educate Manchana Kumari and ensure she has a better future | 0.8132
,,,,,,41417 | To help Sunil Kumar | 0.6392
,,,,,,41434 | To motivate Poonam Kumari to pursue education and pass the matriculation examination | 0.7297
,,,,,,41438 | To improve Priyankas education by enrolling her in school | 0.7098
,,,,,,41439 | Gudiya had failed in matriculation | 0.3719
,,,,,,41445 | To educate Meena Devi | 0.5849
,,,,,,41446 | To enroll Madhuri Kumari in school | 0.7826
,,,,,,41455 | To support Sudhaa Kumaris education and empower her through community involvement. | 0.8202
,,,,,,41481 | To inspire Mala Kumari to resume her studies and understand the importance of education | 0.8595
,,,,,,41494 | To educate Sanwali Kumari and other children in the community despite poverty | 0.7449
,,,,,,41515 | To enroll Sukriti Kumari in school | 0.7697
,,,,,,28628 | To educate Madhu Kumari and other children in the village about the importance of education | 0.7842
,,,,,,48924 | To enroll Sonakshi Kumari in school and create a conducive environment for studies in her community | 0.7981
,,,,,,48921 | To enroll Roshni in school | 0.5406
,,,,,,48957 | To enroll Neetu Kumari in school and ensure she attends daily | 0.8216
,,,,,,49008 | To empower Soni Kumari to pursue her education despite financial constraints | 0.8094
,,,,,,28590 | To encourage Priya Kumari to return to school and emphasize the importance of education | 0.8462
,,,,,,28631 | To educate Anu Kumari and other children in the village about the importance of education | 0.7804
,,,,,,14942 | To help Neha Kumari | 0.6942
,,,,,,14966 | To educate girls till 12th class | 0.6178
